"Taxon","Status","Stem","Leaf","Fruit","Ecology","Elevation","Bioregional Distribution","Flowering Time","eFlora Treatment Author","url","Distribution Outside California","Note","Synonyms","Inflorescence","Flower","Reference","Toxicity","Habit","Chromosomes","Staminate Flower","Pistillate Flower","Seed"
"Eucalyptus sideroxylon","NATURALIZED"," 7--25 m; bark persistent, deeply furrowed, hard, dark brown to +- black. "," 6--14 cm, 1--2 cm wide, lanceolate, dull gray-green. "," +- 1 cm, ovoid; valves included. "," Uncommon. Coastal, disturbed areas; "," < 200 m. "," CCo, SCoRO, SCo, n ChI, WTR; "," Dec--Feb "," Matt Ritter","http://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=25282"," native to southeastern Australia, commonly cultivated in California. ",NA,NA," umbel, 5--7-flowered, pendent. "," hypanthium 4--6 mm, generally glaucous, ovoid to hemispheric, > bud cap; bud cap conic; stamens generally pink to red (white), anthers 0 on outer. "," Brooker 2000 Austral Syst Bot 13:79--148Jepson Online InterchangeList of species Eucalyptus camaldulensis Eucalyptus citriodora Eucalyptus cladocalyx Eucalyptus conferruminata Eucalyptus globulus Eucalyptus polyanthemos Eucalyptus pulchella Eucalyptus sideroxylon Eucalyptus tereticornis Eucalyptus viminalisPrevious taxonEucalyptus pulchellaNext taxon: Eucalyptus tereticornis
Name Search",NA,NA,NA,NA,NA,NA
"Eucalyptus tereticornis","NATURALIZED"," 10--25(50) m, straight; bark persistent near base, generally shed in irregular strips, smooth, gray or tan. "," 8--20 cm, 1--2.5 cm wide, lanceolate. "," 7--9 mm, hemispheric; valves exserted. "," Uncommon. Disturbed coastal areas; "," < 200 m. "," SnJV, SCoRO, SCo, n ChI, TR, PR; "," May--Aug "," Apparent hybrid with Eucalyptus robusta Sm. in San Diego, rare.","http://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=25283"," native to eastern Australia. "," Commonly cultivated in California. Unabridged ",NA," umbel, 7--11-flowered. "," hypanthium 2--3 mm, obconic to hemispheric, +- 1/2 × bud cap; bud cap horn-shaped to conic, smooth; stamens white. "," Matt Ritter",NA,NA,NA,NA,NA,NA
"Eucalyptus viminalis","NATURALIZED"," 25--50 m, straight; bark generally shed in long ribbons, persistent near base or not, smooth, white, gray, or tan. "," 10--15 cm, 1--2.5 cm wide, lanceolate. "," 5--7 mm, +- hemispheric; valves exserted. "," Uncommon. Disturbed areas; "," < 100 m. "," NCoRO, CCo, SCoRO, SCo, PR; "," Jul--Sep "," Matt Ritter","http://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=25285"," native to southeastern Australia. "," Commonly cultivated in California. ",NA," umbel, 3-flowered. "," hypanthium 2--3 mm, ovoid to obconic, +- = bud cap; buds +- sessile; bud cap conic, smooth; stamens white. "," Brooker 2000 Austral Syst Bot 13:79--148Jepson Online InterchangeList of species Eucalyptus camaldulensis Eucalyptus citriodora Eucalyptus cladocalyx Eucalyptus conferruminata Eucalyptus globulus Eucalyptus polyanthemos Eucalyptus pulchella Eucalyptus sideroxylon Eucalyptus tereticornis Eucalyptus viminalisPrevious taxonEucalyptus tereticornisNext taxon: Leptospermum
Name Search",NA,NA,NA,NA,NA,NA
"Fraxinus anomala","NATIVE"," many; bark gray; twigs generally 4-angled, tan; buds glandular-puberulent. "," simple and/or compound; petiole 1.2--3 cm; blade narrowly ovate to +- rounded, cordate to tapered at base, acute to rounded at tip, generally crenate-serrate to +- entire, thick, glabrous, yellow-green; if compound, leaflets 3--5, 2--10 cm, 1.5--6 cm wide. "," 13--24 mm, 5--11 mm wide; body oblong-oblanceolate, broadly winged to near base; fruit pedicel tip slender. "," Washes, rocky slopes, shrubland, pinyon/juniper woodland; "," 1100--2400 m. "," n&e DMtns; "," Apr--May "," Family description, key to genera by Thomas J. Rosatti; treatment of genera by James Henrickson","http://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=26094"," to Colorado, New Mexico. "," Flowers bisexual but only 1/2 of plants produce fruit; plants rarely with petals, source of erroneous reports of Fraxinus dipetala in D. Unabridged SynonymsFraxinus anomala var. triphylla M.E. Jones",NA," 3--9 cm; bracts glandular-puberulent. "," generally bisexual; calyx 1.2--1.5 mm, irregularly cut, thin, green to +- purple; petals generally 0; anthers 1.5--2.5 mm, filaments 2--2.5 mm; stigma <= style. "," Little 1952 J Washington Acad Sci 42:369--380; Miller 1955 Cornell Univ Agric Exp Sta Mem 335:1--64Jepson Online InterchangeList of species Fraxinus anomala Fraxinus dipetala Fraxinus latifolia Fraxinus parryi Fraxinus velutinaPrevious taxonFraxinusNext taxon: Fraxinus dipetala
Name Search",NA," Shrub to tree, 1.5--5 m. "," 2n=46.",NA,NA,NA
"Fraxinus dipetala","NATIVE"," older stem bark gray, smooth; twigs cylindric to 4-angled, gray; buds +- glandular-puberulent. "," compound, 7--18 cm, 5--9(11) cm wide; petiole 2.4--4.5 cm; leaflets (3)5--7(9), 2--4.5 cm, 1--2.5 cm wide, ovate to +- rounded, tapered at base, obtuse to +- rounded at tip, generally serrate-crenate, generally thin, glabrous, dark green adaxially, pale abaxially. "," 20--32 mm, 5--9 mm wide; body broadly oblanceolate, flat, broadly winged to near base; fruit pedicel tip slender. "," Canyons, slopes, chaparral, oak/pine woodland; "," 100--1300 m. "," KR, NCoR, CaR, SNF, c&s SN, CW, TR, PR. "," Apr--Jun "," Family description, key to genera by Thomas J. Rosatti; treatment of genera by James Henrickson","http://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=26100",NA,NA,NA," 8--15 cm. "," generally bisexual; calyx 1.2--2 mm, +- toothed, thin, green; petals 2, 3.5--6.5 mm, 1.3--3 mm wide, oblong-ovate, cream-white, +- cupped, narrowed and fused with filaments at base (rarely forming basal tube); anthers 2.4--4.2 mm; filaments 0.8--2.8 mm; stigmas +- < style. "," Little 1952 J Washington Acad Sci 42:369--380; Miller 1955 Cornell Univ Agric Exp Sta Mem 335:1--64Jepson Online InterchangeList of species Fraxinus anomala Fraxinus dipetala Fraxinus latifolia Fraxinus parryi Fraxinus velutinaPrevious taxonFraxinus anomalaNext taxon: Fraxinus latifolia
Name Search",NA," Shrub to small tree, 1.5--3(6) m. "," 2n=46.",NA,NA,NA
"Fraxinus latifolia","NATIVE"," bark gray-brown, furrowed; twigs cylindric, brown-gray, +- long-shaggy-hairy or glabrous. "," compound, 12--33(50) cm, +- long-shaggy-hairy or glabrous; petioles 3--7(9) cm, channeled; leaflets (3)5--7, 4--11(14) cm, 2.4--7.5 cm wide, ovate or oblong-(ob)ovate, broadly wedge-shaped to +- rounded at base, acuminate at tip, entire to +- serrate, lateral leaflets +- sessile, terminal leaflet +- larger, stalk to 10--35 mm. "," 25--50 mm, 5--9 mm wide; body 15--18 mm, +- cylindric, wing flat, extending proximally as tapering margin down 1/2--3/4 body; fruit pedicel tip much expanded. "," Canyons, streambanks, woodland; "," < 1700 m. "," NW, CaR, SN, GV, SnFrB, MP; "," Mar--May "," Family description, key to genera by Thomas J. Rosatti; treatment of genera by James Henrickson","http://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=26105"," to British Columbia. "," Pure in northern California; mostly introgressed with Fraxinus velutina in southern California. Unabridged SynonymsFraxinus oregona Nutt.; Fraxinus pennsylvanica subsp. oregona (Nutt.) G.N. Mill.",NA,NA," petals 0. Staminate "," Little 1952 J Washington Acad Sci 42:369--380; Miller 1955 Cornell Univ Agric Exp Sta Mem 335:1--64Jepson Online InterchangeList of species Fraxinus anomala Fraxinus dipetala Fraxinus latifolia Fraxinus parryi Fraxinus velutinaPrevious taxonFraxinus dipetalaNext taxon: Fraxinus parryi
Name Search",NA," Tree < 25 m, trunk < 1.5 m diam; dioecious. "," 2n=46."," calyx > 0.5 mm, 4-toothed; anthers 2, 2--3.5 mm. Pistillate "," calyx +- 1 mm, finely irregularly cut; style +- 3 mm; stigma +- 1.3 mm. ",NA
"Fraxinus parryi","NATIVE"," older stem bark gray, smooth; twigs cylindric to 4-angled; buds glandular-puberulent. "," simple and/or compound, 2--5(6) cm; petiole 0.6--1.5 cm; if compound, leaflets 3, 2--5(6) cm, 1.5--3.5 cm wide, ovate to rounded, 1--4 cm, 1--2.5 cm wide, broadly tapered at base, obtuse to rounded-notched at tip, generally entire, green adaxially, pale abaxially. "," 22--30 mm, 7--9 mm wide, body broadly oblong-oblanceolate, flat, broadly winged to near base; fruit pedicel tip slender. "," Canyons, slopes, margins of mixed chaparral; "," 600 m. "," PR (s San Diego Co.); "," Feb--Mar "," Family description, key to genera by Thomas J. Rosatti; treatment of genera by James Henrickson","http://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=81535"," Baja California. ",NA," Fraxinus dipetala var. trifoliolata Torr.; Fraxinus trifoliolata (Torr.) H. Lewis & Epling, illeg.; "," 3--10 cm; bracts +- glandular-puberulent. "," bisexual; calyx 1.2--2 mm, short-toothed, thin, green, persisting on fruit; petals 2, 4.5--6.5 mm, 2.2--4.3 mm wide, oblong ovate, cream-white, united with filament base for 0.5--1.5 mm; anthers 2, 2.3--4 mm, free filaments 1.5--2 mm; stigma > narrow style. "," Little 1952 J Washington Acad Sci 42:369--380; Miller 1955 Cornell Univ Agric Exp Sta Mem 335:1--64Jepson Online InterchangeListed on CNPS Rare Plant InventoryList of species Fraxinus anomala Fraxinus dipetala Fraxinus latifolia Fraxinus parryi Fraxinus velutinaPrevious taxonFraxinus latifoliaNext taxon: Fraxinus velutina
Name Search",NA," Shrub to tree, 1.5--3(5) m. ",NA,NA,NA,NA
"Fraxinus velutina","NATIVE"," bark gray, furrowed; twigs cylindric, gray-brown, minutely coarse-hairy to velvety or becoming glabrous. "," compound, 9--20(30) cm, occasionally stiff-leathery, minutely coarse-hairy to velvety throughout or generally adaxially, often becoming glabrous, hairs generally erect, straight, to 0.5 mm; petiole 2--8 cm, channeled; leaflets (3)5--7, 3--10 cm, 1.5--3.5 cm wide, lanceolate to lance-ovate or lance-obovate, tapered to base, long tapered at tip, entire to serrate, lateral leaflets generally smaller, with stalk 4--6(10) mm, terminal leaflet more tapered at base, with stalk 10--27 mm. "," 15--38 mm, 3--6(8) wide; body 12--14 mm, +- cylindric, wing flat, extending proximally as tapering margin onto distal 1/4 of fruit body; fruit pedicel tip much expanded. "," Canyons, streambanks, woodland; "," 200--1600 m. "," s SN, SCo, TR, PR, s SNE, DMoj; "," Mar--Apr "," Family description, key to genera by Thomas J. Rosatti; treatment of genera by James Henrickson","http://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=26119"," to southwestern Utah, Texas, northern Mexico. "," Many southern California specimens show introgression with Fraxinus latifolia. Unabridged SynonymsFraxinus pennsylvanica subsp. velutina (Torr.) G.N. Mill.; Fraxinus velutina var. coriacea (S. Watson) Rehder",NA,NA," petals 0. Staminate "," Little 1952 J Washington Acad Sci 42:369--380; Miller 1955 Cornell Univ Agric Exp Sta Mem 335:1--64Jepson Online InterchangeList of species Fraxinus anomala Fraxinus dipetala Fraxinus latifolia Fraxinus parryi Fraxinus velutinaPrevious taxonFraxinus parryiNext taxon: Ligustrum
Name Search",NA," Tree < 15 m, trunk to 3 dm diam; dioecious. "," 2n=46,92."," calyx < 1 mm, anthers 2(3), 2--3 mm. Pistillate "," calyx 1--2 mm, green, +- unequally cut; style 0.5, stigma 2--3.5 mm. ",NA
"Crataegus castlegarensis","NATIVE"," thorns 18--23 mm, in 2s to 4s or not. "," of short-shoots 3.5--6 cm, +- elliptic-diamond-shaped to narrow-obovate, base wedge-shaped, shallowly lobed, tip acute. "," 10--12 mm diam, +- spheric, deep purple to black, stones 3--4. "," Streamsides in meadows, scrub, forest; "," 900--1300 m. "," CaR, MP; "," May--Aug "," James B. Phipps","http://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=85314"," to British Columbia, Saskatchewan, Montana. "," Described in 2002, found in California in 2004. ",NA," hairy. "," 12--15 mm diam; sepals distally glandular-serrate; stamens +- 10, anthers pink; styles 3--4. "," Phipps & O'Kennon 2002 Sida 20:115--144Jepson Online InterchangeListed on CNPS Rare Plant InventoryList of species Crataegus castlegarensis Crataegus douglasii Crataegus gaylussacia Crataegus monogynaPrevious taxonCrataegusNext taxon: Crataegus douglasii
Name Search",NA,NA," 2n=68.",NA,NA,NA
"Crataegus douglasii","NATIVE"," thorns 15--18 mm. "," of short-shoots 3.5--6 cm, +- elliptic-diamond-shaped to narrow-obovate, base wedge-shaped, generally shallowly lobed, tip acute. "," 10--12 mm diam, spheric [to elliptic], deep purple to black, stones 3--4. "," Streamsides in meadows, scrub, forest; "," 600--2450 m. "," KR, CaR, n SNH; "," May--Aug "," James B. Phipps","http://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=20721"," to British Columbia, Montana, Saskatchewan, Ontario. ",NA," Crataegus columbiana Howell; "," glabrous. "," 12--15 mm diam; sepals distally glandular-serrate; stamens +- 10, anthers pink; styles 3--4. "," Phipps & O'Kennon 2002 Sida 20:115--144Jepson Online InterchangeList of species Crataegus castlegarensis Crataegus douglasii Crataegus gaylussacia Crataegus monogynaPrevious taxonCrataegus castlegarensisNext taxon: Crataegus gaylussacia
Name Search",NA,NA," 2n=68.",NA,NA,NA
"Crataegus gaylussacia","NATIVE"," thorns 8--12 mm. "," of short-shoots 3--8 cm, wide-elliptic to -ovate or narrow-obovate, base wedge-shaped, unlobed to shallowly lobed, thin to +- leathery. "," 10--12 mm diam, +- spheric, deep purple to black, stones 3--5. "," Streamsides in meadows, scrub, forest; "," 30--1250 m. "," KR, NCoR, CaR, SNH, n CCo (Marin Co.); "," May--Jun "," James B. Phipps","http://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=91319"," to Alaska, Montana. ",NA," Crataegus suksdorfii (Sarg.) Kruschke; "," glabrous. "," 12--13 mm wide; sepals distally glandular-serrate; stamens +- 20, anthers pink; styles 3--5. "," Phipps & O'Kennon 2002 Sida 20:115--144Jepson Online InterchangeList of species Crataegus castlegarensis Crataegus douglasii Crataegus gaylussacia Crataegus monogynaPrevious taxonCrataegus douglasiiNext taxon: Crataegus monogyna
Name Search",NA,NA," 2n=34,51,68.",NA,NA,NA
"Crataegus monogyna","NATURALIZED"," thorns of indefinite growth. "," of short-shoots 3--5 cm, widely ovate, deeply sharp-lobed. "," 10 mm diam, elliptic to +- spheric, red to deep red; stone 1. "," Naturalized in scattered places; "," 500 m. "," NCo, NCoR, SnFrB; "," May--Aug Unabridged NoteCv 'Crimson Cloud' in retail commerce."," James B. Phipps","http://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=20843"," temperate North America; native to temp western Eurasia. ",NA,NA,NA," 13--16 diam; sepals triangular; stamens 20, anthers pink-purple; style 1. "," Phipps & O'Kennon 2002 Sida 20:115--144Jepson Online InterchangeWeed listed by Cal-IPC List of species Crataegus castlegarensis Crataegus douglasii Crataegus gaylussacia Crataegus monogynaPrevious taxonCrataegus gaylussaciaNext taxon: Dasiphora
Name Search",NA,NA," 2n=34,51.",NA,NA,NA
"Malus fusca","NATIVE",NA," 3--12 cm, generally widely lanceolate; petiole 15--50 mm. "," pedicel 20--30 mm. "," Moist, open conifer forest; "," < 800 m. "," NCo, NCoRO, CaRF, n CCo; "," Apr--May "," Daniel Potter & Thomas J. RosattiJepson Online InterchangeList of species Malus fusca Malus pumilaPrevious taxonMalusNext taxon: Malus pumila
Name Search","http://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=32578"," to Alaska. ",NA,NA,NA," petals white. ",NA,NA," Shrub, small tree. "," n=17.",NA,NA,NA
"Malus pumila","NATURALIZED",NA," 5--11 cm, elliptic to widely ovate; petiole 10--40 mm. "," pedicel 10--25 mm. "," Disturbed places; "," < 2080 m. "," CA-FP; "," Apr--May "," Daniel Potter & Thomas J. RosattiJepson Online InterchangeList of species Malus fusca Malus pumilaPrevious taxonMalus fuscaNext taxon: Neviusia
Name Search","http://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=32587"," native to Eurasia. ",NA," Malus domestica Borkh.; Malus pumila var. domestica (Borkh.) C.K. Schneid.; Malus sylvestris Mill., misappl.; Pyrus malus L.; Unabridged NoteTROPICOS & IPNI label Malus domestica Borkh. (Theoretisches-praktisches Handbuch der Forstbotanik und Forsttechnologie 2: 1272--1276. 1803) as illegitimate, superfluous for M. communis Desf. The work isn't readily available at UCB so has not been checked. If Malus domestica is in fact illegitimate, then the correct citation would be Malus pumila Mill. var. domestica C.K. Schneid. A proposal to conserve the name Malus domestica against Malus pumila, Malus communis, Malus frutescens, and Pyrus dioica has been published in Taxon 59(2):650--652 (April, 2010).",NA," petals white or pink. ",NA,NA," Tree. "," 2n=34,51.",NA,NA,NA
